"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"UR02_CP"	"UR02x01"	"UR02x02"	"UR02x03"	"UR02x04"	"UR02x05"	"UR02x06"	"UR02x07"	"UR02x08"	"UR02x09"	"UR02x10"	"UR02x11"	"UR02x12"	"UR02x13"	"UR02x14"	"UR02x15"	"UR02x16"	"UR02x17"	"UR02x18"	"UR02x19"	"UR02x20"	"UR02x21"	"UR02x22"	"UR02x23"	"UR02x24"	"UR02x25"	"UR02x26"	"UR02x27"	"UR02x28"	"UR02x29"	"UR02x30"	"UR02x31"	"UR02x32"	"UR02x33"	"UR02x34"	"UR02x35"	"UR02x36"	"UR02x37"	"UR02x38"	"UR02x39"	"UR02x40"	"UR02x41"	"UR02x42"	"UR02x43"	"UR02x44"	"UR02x45"	"UR02x46"	"UR02x47"	"UR02x48"	"UR02x49"	"UR02x50"	"UR02x51"	"UR02x52"	"UR02x53"	"UR02x54"	"UR02x55"	"UR02x56"	"UR02x57"	"UR02x58"	"UR02x59"	"UR02x60"	"UR02x61"	"UR02x62"	"UR02x63"	"UR02x64"	"UR02x65"	"UR02x66"	"UR02x67"	"UR02x68"	"UR02x69"	"UR02x70"	"UR02x71"	"UR02x72"	"UR02x73"	"UR02x74"	"UR02x75"	"UR02x76"	"UR02x77"	"UR02x78"	"UR02x79"	"UR02x80"	"UR02x81"	"UR02x82"	"UR02x83"	"UR02x84"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"TR02_17"	"TR02_17a"	"TR02_18"	"TR02_18a"	"TR02_19"	"TR02_19a"	"TR02_20"	"TR02_20a"	"TR02_21"	"TR02_21a"	"TR02_22"	"TR02_22a"	"TR02_23"	"TR02_23a"	"TR02_24"	"TR02_24a"	"TR02_25"	"TR02_25a"	"TR02_26"	"TR02_26a"	"TR02_27"	"TR02_27a"	"TR02_28"	"TR02_28a"	"TR02_29"	"TR02_29a"	"TR02_30"	"TR02_30a"	"TR02_31"	"TR02_31a"	"TR02_32"	"TR02_32a"	"TR02_33"	"TR02_33a"	"TR02_34"	"TR02_34a"	"TR02_35"	"TR02_35a"	"TR02_36"	"TR02_36a"	"TR02_37"	"TR02_37a"	"TR02_38"	"TR02_38a"	"TR02_39"	"TR02_39a"	"TR02_40"	"TR02_40a"	"TR02_41"	"TR02_41a"	"TR02_42"	"TR02_42a"	"TR02_43"	"TR02_43a"	"TR02_44"	"TR02_44a"	"TR02_45"	"TR02_45a"	"TR02_46"	"TR02_46a"	"TR02_47"	"TR02_47a"	"TR02_48"	"TR02_48a"	"TR02_49"	"TR02_49a"	"TR02_50"	"TR02_50a"	"TR02_51"	"TR02_51a"	"TR02_52"	"TR02_52a"	"TR02_53"	"TR02_53a"	"TR02_54"	"TR02_54a"	"TR02_55"	"TR02_55a"	"TR02_56"	"TR02_56a"	"TR02_57"	"TR02_57a"	"TR02_58"	"TR02_58a"	"TR02_59"	"TR02_59a"	"TR02_60"	"TR02_60a"	"TR02_61"	"TR02_61a"	"TR02_62"	"TR02_62a"	"TR02_63"	"TR02_63a"	"TR02_64"	"TR02_64a"	"TR02_65"	"TR02_65a"	"TR02_66"	"TR02_66a"	"TR02_67"	"TR02_67a"	"TR02_68"	"TR02_68a"	"TR02_69"	"TR02_69a"	"TR02_70"	"TR02_70a"	"TR02_71"	"TR02_71a"	"TR02_72"	"TR02_72a"	"TR02_73"	"TR02_73a"	"TR02_74"	"TR02_74a"	"TR02_75"	"TR02_75a"	"TR02_76"	"TR02_76a"	"TR02_77"	"TR02_77a"	"TR02_78"	"TR02_78a"	"TR02_79"	"TR02_79a"	"TR02_80"	"TR02_80a"	"TR02_81"	"TR02_81a"	"TR02_82"	"TR02_82a"	"TR02_83"	"TR02_83a"	"TR02_84"	"TR02_84a"	"IV01_RV1"	"IV01_REF"	"IV02_01"	"IV02_02"	"DM03"	"DM04"	"DM05"	"DM06"	"DM07"	"DM10_01"	"DM11"	"DM11_01"	"DV01_01"	"DV02_01"	"DV03_01"	"DV03_02"	"DV04_01"	"DV04_02"	"DV05_01"	"DV05_02"	"DV06_01"	"DV06_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
119			"base"	"interview"	2021-04-23 14:29:04	0	4	17	2	3	3	4	4	3	1	3	1	2	1	1	1	4	2	3	1	1	2	4	4	1	4	4	3	1	2	4	2	1	1	2	3	1	4	1	3	3	4	4	1	4	3	4	3	4	4	4	1	2	2	1	2	4	1	2	3	4	4	1	1	2	1	2	2	1	4	1	3	3	1	1	1	1	2	1	1	2	1	3	2	4	1	1	1	7415	1	5156	1	3484	1	5553	1	3404	1	3397	1	3113	1	2720	1	2727	1	2669	1	2627	1	2671	1	2574	1	2505	1	2486	1	2512	1	10717	1	4876	1	3011	2	2221	2	2011	2	1982	2	1876	2	2287	2	1728	2	1814	2	1943	2	1972	2	1705	1	1963	1	1924	1	1861	1	2141	2	1916	2	1879	2	1966	2	1663	1	2290	1	1854	1	1866	2	1901	2	1868	2	2017	1	2221	1	1844	1	1856	1	1902	1	1855	1	1738	1	1883	1	1883	1	1846	1	2296	1	1926	1	1910	1	1931	1	1903	1	1742	1	1834	1	1874	1	1726	1	1813	1	1942	1	1880	1	1835	1	1758	1	1814	1	1765	1	1801	1	1766	1	2191	1	2034	1	1858	1	1665	1	1944	1	1866	1	1704	1	1670	1	1773	1	2355	1	1896	1	1861	1	1918	1	1800	1	1832	1	1705	1	1920	1	1793	1	1891	1	1860	1	2073	1	2038	1	1962	1	1999	1	1879	1	1767	1	1825	1	1805	1	1862	1	2413	"5f6bc9d6b572cb13770b5c45"	"-"	"Forced1Forced3Forced4Forced4Forced3Forced4Forced2Forced2Forced4Forced2Forced4Forced4Forced4Forced3Forced4Forced4ForcedFeedback"	"-420"	2	15	1	2	4		1	T	51	101	51	39	29	51	34	36	84	51	26	31	31	8	8	10	13	32	3	33	32	27	230	12	46	23	3	568		2021-04-23 14:38:34	T	F	17	17	1	0	1.15	18
120			"base"	"interview"	2021-04-23 14:29:08	9	2	780	4	2	2	2	1	3	1	1	1	1	2	1	4	2	3	1	1	4	2	2	1	1	4	4	2	3	4	4	3	1	2	2	3	3	1	2	2	1	3	2	2	2	1	2	2	3	3	1	3	4	2	4	2	2	3	3	1	3	1	1	1	2	3	3	3	2	3	2	4	1	1	1	2	1	2	4	3	4	3	4	4	1	3	2	1	4144	1	4657	1	3677	1	3213	1	3290	1	2446	1	2643	1	2478	1	2330	1	2530	1	3029	1	2562	1	3389	1	4555	1	2585	1	2750	2	2672	1	2217	2	1904	2	1851	2	1989	1	1992	2	2009	2	1854	2	1878	2	1852	2	1930	1	1845	2	1868	2	1935	2	2073	2	12737	2	2490	1	2105	2	2148	1	1946	2	2155	1	2066	2	3268	2	2508	1	3684	2	2027	1	2532	2	3656	2	2373	1	1840	2	1837	2	1946	2	2219	2	2175	2	2083	2	2100	2	1947	2	2060	2	2213	2	2397	2	2125	2	2158	1	2512	2	2319	2	2048	2	2846	2	2186	2	1929	2	45900	1	1925	1	1977	2	2497	1	2979	2	6845	2	8573	1	2052	2	1772	1	11066	2	1842	2	89257	2	3510	1	27268	2	2360	2	2235	2	1723	1	1697	2	2316	2	2040	2	1818	1	118334	2	5823	2	21564	1	6007	2	2122	1	2273	1	3374	2	1953	2	11801	2	2781	2	1969	1	1865	2	1856	1	1900	1	2173	"5f74f403fd085d14dcd38ca7"	"-"	"Forced4Forced3Forced3Forced4Forced4Forced4Forced4Forced4Forced4Forced4Forced2Forced3Forced2Forced2Forced1Forced4ForcedFeedback"	"-560"	2	13	1	2	3		1	T	72	30	47	54	84	69	26	30	77	51	326	2	5	6	3	13	13	32	1	9	11	10	576	5	13	32	2	461		2021-04-23 14:46:50	T	F	17	17	1	0	1.92	83
121			"base"	"interview"	2021-04-23 14:29:34	0	2	0	1	3	4	1	2	2	2	4	2	4	3	4	4	1	4	1	1	3	4	4	2	1	1	1	2	4	4	3	1	1	2	2	4	4	1	3	3	3	1	2	1	4	1	1	1	3	1	2	4	1	3	3	4	2	2	3	2	3	2	4	4	3	1	3	1	2	3	2	1	1	1	1	2	3	1	3	4	3	4	4	1	1	3	3	1	5086	1	4295	1	5279	1	2973	1	2629	1	2731	1	6127	1	2840	1	2975	1	2875	1	2768	1	3362	1	2952	1	3392	1	2612	1	2607	1	2618	2	2165	2	2125	1	2918	1	2112	1	1956	2	2571	2	2084	2	2144	2	3172	1	1964	2	2186	2	2584	1	2515	2	2071	2	2623	2	2324	1	1979	1	2115	2	1976	1	2300	2	2146	2	2025	2	2383	2	1984	1	2248	1	3044	2	2444	1	2694	2	2196	1	2509	2	2086	2	2292	2	6818	1	2370	2	2183	2	2012	2	2084	1	2053	1	2175	1	2065	1	2251	2	2318	2	2208	1	2071	2	2273	2	2350	2	2597	1	2221	1	2729	2	2710	1	2985	2	2089	1	2718	2	3066	1	2442	2	2265	2	1905	1	2089	1	2457	1	2361	1	2420	1	1985	1	2416	2	2178	1	3155	2	3211	2	2324	1	2074	1	2101	1	2284	2	2030	1	2316	1	1899	2	1643	1	1915	2	2010	1	2225	2	2226	1	2471	2	2424	2	2372	1	1943	2	3236	"5d545b9407e8740017e56919"	"-"	"Forced4Forced3Forced4Forced4Forced4Forced4Forced4Forced3Forced4Forced2Forced3Forced2Forced1Forced2Forced4Forced4ForcedFeedback"	"-440"	2	4	1	2	2		1	T	82	14	70	31	60	42	21	14	23	8	15	4	20	8	4	11	12	39	5	11	37	9	257	6	12	16	3	469		2021-04-23 14:37:25	T	F	17	17	1	0	1.74	43
122			"base"	"interview"	2021-04-23 14:29:41	10	2	826	4	1	2	3	3	1	4	4	3	2	3	2	2	1	1	3	3	3	3	4	2	1	1	4	3	1	1	3	4	3	1	3	1	1	3	2	2	3	3	1	1	4	3	2	4	1	2	1	4	2	2	1	1	1	2	4	1	1	3	2	4	3	4	3	3	2	4	1	1	4	4	1	3	2	2	2	2	1	1	4	2	1	3	2	1	3834	1	3939	1	3542	1	18207	1	2923	1	3898	1	2570	1	2708	1	4305	1	2537	1	2610	1	2613	1	3201	1	2575	1	2826	1	2874	1	5452	2	3772	2	2119	1	1885	1	1859	1	1837	1	2784	1	2167	2	2269	2	2195	2	1962	2	1843	1	2041	1	1718	2	1917	1	1606	1	1864	1	1654	1	1852	2	2005	1	1683	1	1812	2	1795	1	1909	2	1959	1	1792	1	2026	2	2512	1	1791	2	1764	2	1846	1	1855	2	2119	2	1876	1	2022	2	2018	1	2371	2	1812	1	2321	1	2159	1	5372	1	3612	1	1612	2	3157	1	1621	1	1883	1	1642	2	1836	2	1826	2	2389	1	1874	2	1636	1	1795	2	1822	1	1969	2	1728	1	1800	2	2131	1	1617	1	1743	2	1827	1	1770	2	1949	1	1659	2	1846	1	1865	2	1965	2	1773	1	1767	2	2061	1	2069	1	2083	2	1771	1	2261	2	1857	1	1676	2	1769	1	1959	1	1828	2	2194	1	1625	2	2036	1	1901	1	2465	"5e67b39bf9fcbf01e4692a2c"	"-"	"Forced4Forced3Forced1Forced4Forced4Forced2Forced2Forced4Forced2Forced4Forced3Forced4Forced4Forced4Forced4Forced3ForcedFeedback"	"-520"	2	15	1	2	2		1	T	21	4	51	60	65	36	27	39	1	28	481	6	6	4	4	13	12	47	3	11	9	18	236	5	10	9	15	446		2021-04-23 14:44:30	T	F	17	17	1	0	1.68	48
123			"base"	"interview"	2021-04-23 14:29:43	5	4	387	3	1	2	2	1	2	3	4	3	4	4	1	1	3	2	3	1	3	4	2	1	4	2	1	2	2	1	3	1	2	2	4	4	4	4	2	1	3	3	2	1	3	4	2	1	4	2	4	1	3	3	1	1	2	2	2	2	4	1	4	2	2	4	1	3	4	3	2	1	3	3	3	2	2	4	1	1	2	4	1	4	3	1	2	1	4559	1	4320	1	2846	1	2876	1	2789	1	2698	1	2665	1	3506	1	3899	1	3089	1	2694	1	2616	1	2695	1	2911	1	2716	1	2482	1	4651	1	2877	2	2835	2	5101	2	2265	2	2157	2	1757	2	1884	2	1870	1	2104	1	2274	1	2232	1	2211	2	1835	1	2009	1	2179	2	1926	1	1956	1	1851	1	2162	1	1966	1	1763	1	1922	1	1845	1	2052	1	1528	1	1669	1	1556	1	1625	1	1629	2	2218	1	2122	1	2177	2	1849	1	2540	1	2083	2	1891	2	1815	1	1916	1	1681	1	1817	1	1816	1	1932	1	1883	1	1909	1	1951	2	2726	2	2663	2	2207	1	2236	1	2006	1	1682	1	1987	1	1946	2	2371	1	2128	1	1777	1	1901	1	2189	1	1975	2	1924	2	1830	1	1785	1	1855	1	1578	2	1569	1	2444	2	2499	1	2327	1	2032	1	1739	1	1877	1	1830	1	1986	1	1569	1	1876	2	2029	2	1881	1	1863	1	1907	1	1633	1	2292	2	1612	1	2223	"5ea44104a980d23d4f21f7ad"	"-"	"Forced2Forced4Forced2Forced4Forced2Forced4Forced1Forced4Forced3Forced4Forced4Forced4Forced3Forced4Forced3Forced4ForcedFeedback"	"-460"	2	10	2	2	5		1	T	96	1	20	35	32	14	58	61	81	88	115	17	16	4	3	12	11	35	2	11	25	11	235	5	10	11	3	449		2021-04-23 14:38:29	T	F	17	17	1	0	1.71	42
124			"base"	"interview"	2021-04-23 14:29:45	4	2	373	4	4	3	1	4	3	2	3	4	3	4	1	3	1	3	2	3	3	3	3	3	1	3	3	4	3	2	3	3	4	3	3	3	1	4	3	2	2	2	3	4	1	2	3	4	3	4	3	2	1	3	2	4	4	4	4	4	1	4	2	4	4	3	4	4	1	1	1	2	2	3	3	3	3	1	1	4	2	2	4	3	1	3	4	1	6058	1	7411	1	5421	1	3756	1	3683	1	4220	1	2862	1	2914	1	3245	1	2778	1	2558	1	2518	1	2680	1	2623	1	2361	1	2618	2	8581	2	3060	2	2534	2	1997	2	1881	2	1958	2	1924	2	2280	2	2043	2	1917	2	1913	2	1833	2	1813	1	1839	1	1884	2	1706	2	2205	2	2031	2	1975	1	2815	1	2081	2	1828	2	1865	2	4617	2	1896	2	1943	1	1849	1	1721	1	1813	1	1797	2	2153	1	1852	2	1646	2	1791	2	2167	2	1879	2	1635	2	1848	2	1889	2	1871	2	1905	2	1881	2	1973	2	1849	2	1981	2	1811	2	2010	2	1959	2	1877	2	1653	2	1857	2	1822	1	2060	1	1637	1	1707	1	1696	1	1777	1	2724	1	1890	1	1803	1	1801	1	1860	1	1712	1	1779	1	2178	1	1797	1	1929	1	1859	1	1956	1	1636	1	1834	2	1911	1	1970	1	1711	1	2101	1	1930	1	1952	1	1843	1	2296	1	1881	1	1860	1	2022	1	1907	1	3104	"603d73eecd5c8ec3f146cdf1"	"-"	"Forced4Forced2Forced3Forced4Forced3Forced3Forced1Forced4Forced4Forced4Forced4Forced2Forced4Forced4Forced2Forced4ForcedFeedback"	"-360"	2	5	1	2	3		1	T	1	78	76	61	75	87	61	41	66	71	49	79	48	13	4	15	15	34	4	25	51	46	233	16	48	28	26	668		2021-04-23 14:42:00	T	F	17	17	1	0	0.84	8
125			"base"	"interview"	2021-04-23 14:29:47	10	3	846	1	4	3	1	3	2	1	3	1	3	2	1	3	3	1	1	4	2	4	4	1	3	3	1	1	3	1	1	1	2	2	2	2	2	1	3	2	3	1	3	3	2	3	4	2	3	2	1	4	1	2	1	2	4	3	3	4	4	2	2	3	2	2	1	2	3	4	2	1	2	2	4	3	2	2	3	1	1	2	1	1	1	4	3	1	5568	1	3607	1	3105	1	3839	1	3384	1	2938	1	2400	1	2752	1	2814	1	2737	1	2496	1	2696	1	2820	1	2580	1	2665	1	2432	1	2675	1	2057	1	1901	1	1846	1	1905	1	1829	2	1822	1	1828	1	1826	1	1954	1	1822	1	1790	1	1838	2	1796	2	1813	1	1807	1	1789	1	1921	1	5742	1	3123	1	1824	1	1655	1	1729	1	1659	1	1810	1	1806	1	1799	1	1813	1	1860	1	1797	1	1839	1	1844	1	1836	1	1826	1	1823	1	1710	1	1817	1	1793	2	1831	1	1841	1	1891	1	1835	1	29451	1	3538	1	1825	1	1838	1	5076	1	1818	1	2757	1	1797	1	1799	1	2004	1	1938	1	1605	1	4606	1	2171	1	3169	1	1982	1	1836	1	1782	1	1809	1	1796	1	1800	1	1831	1	1795	1	1864	1	1819	1	1818	1	1839	1	2035	1	1652	1	1809	1	1716	1	1781	1	1803	1	1811	1	1825	1	1820	1	1803	1	1814	1	1837	1	1830	1	1801	1	2111	"5ac48ded5cd1050001622c4a"	"-"	"Forced4Forced2Forced4Forced2Forced2Forced2Forced2Forced4Forced2Forced2Forced1Forced1Forced3Forced2Forced1Forced2ForcedFeedback"	"-600"	2	7	2	2	5		1	T	5	9	25	15	8	4	75	81	7	5	512	3	18	5	9	33	4	14	1	10	30	49	253	2	6	10	2	487		2021-04-23 14:45:49	T	F	17	17	1	0	1.85	66
126			"base"	"interview"	2021-04-23 14:29:58	0	1	34	1	2	4	4	1	2	1	3	1	3	4	2	2	3	1	3	2	3	3	2	3	3	4	1	1	4	1	4	3	3	1	3	2	3	2	3	3	4	1	2	4	1	4	2	2	4	2	2	1	3	3	1	3	1	3	2	2	4	1	4	1	4	3	4	1	1	2	1	4	1	2	3	4	2	2	4	1	1	3	4	1	4	2	3	1	5895	1	4544	1	4334	1	3869	1	3119	1	5432	1	3541	1	2495	1	3670	1	3163	1	4322	1	3707	1	3147	1	2839	1	3114	1	2977	2	4040	2	2579	2	2021	2	2031	2	1936	1	1946	2	1772	2	1978	2	1859	2	1873	1	1861	1	2297	1	1955	2	1987	2	2021	2	2259	2	1891	2	1901	1	1883	1	1845	1	1896	1	1693	1	1976	1	1980	2	1858	2	2185	2	1912	2	1766	1	1669	1	1688	2	1679	2	1984	2	1856	2	2587	2	2028	1	1943	2	1891	1	2135	2	1970	1	1939	1	1790	1	1889	1	1841	1	2049	1	1741	1	1922	1	2163	1	2364	2	1908	1	1866	1	1784	2	2014	2	2069	2	2114	1	2115	1	2114	1	1991	1	1993	1	1929	2	1989	1	1877	1	1743	2	1896	1	1946	2	2127	1	1854	1	1823	2	1961	1	1906	1	1998	2	1875	1	1919	1	1869	1	1958	1	1898	1	2048	1	2261	1	2184	2	1793	2	2451	1	22192	1	2805	2	20931	1	2896	"5de3cd73a8c7a63c547cbd5a"	"-"	"Forced2Forced2Forced2Forced2Forced1Forced1Forced2Forced2Forced4Forced2Forced3Forced1Forced4Forced4Forced2Forced2ForcedFeedback"	"-460"	2	11	1	2	2		1	T	19	83	82	26	42	81	86	51	67	86	12	3	26	13	15	40	4	12	1	8	22	15	265	5	13	13	2	469		2021-04-23 14:37:49	T	F	17	17	1	0	1.87	59
127			"base"	"interview"	2021-04-23 14:30:09	1	2	97	2	2	2	3	4	3	3	1	3	1	4	2	2	1	2	1	3	4	3	3	1	1	1	1	2	3	3	2	4	1	2	4	2	2	3	1	1	3	1	3	1	3	3	3	4	3	2	2	4	2	3	4	1	1	4	2	4	1	1	3	1	4	1	4	3	2	1	3	4	4	1	2	2	2	4	1	3	1	3	2	4	2	1	1	1	8602	1	5198	1	5040	1	3835	1	5444	1	3907	1	4593	1	7682	1	2652	1	4235	1	3284	1	4949	1	6950	1	4542	1	3433	1	3513	2	14900	2	10779	1	4339	1	3631	1	3608	1	3860	2	4272	2	2247	1	3890	1	4160	1	3119	1	2756	1	4468	1	1991	1	2181	2	4787	2	2000	2	2224	2	1959	2	2054	2	2546	2	2016	2	2085	2	5557	1	2374	1	1948	1	4035	1	2006	1	5105	1	2528	1	2149	1	2496	1	4843	1	1950	1	1839	1	1654	1	2200	2	7712	2	2095	1	1959	1	2114	1	7456	1	1962	1	2183	1	1939	1	5321	1	1772	1	2042	1	1842	1	3742	1	1932	1	6724	1	3019	1	5590	1	3274	1	2514	1	2032	1	2107	1	1910	1	2100	1	1932	1	2166	1	2341	1	2008	1	2294	1	1840	1	2294	1	2697	1	5505	1	1988	1	1984	1	1850	1	1939	1	1824	1	1940	1	1686	1	3550	1	2233	1	1664	1	2302	1	2057	1	2311	2	4032	1	7423	"606797a1c09b257556cfbc92"	"-"	"Forced2Forced4Forced4Forced3Forced3Forced4Forced3Forced4Forced4Forced4Forced4Forced4Forced2Forced4Forced1Forced2ForcedFeedback"	"-520"	2	7	2	2	4		1	T	73	59	51	59	71	91	41	45	71	81	38	3	45	12	4	23	17	47	3	38	46	42	330	17	48	21	25	759		2021-04-23 14:42:50	T	F	17	17	1	0	0.96	15
128			"base"	"interview"	2021-04-23 14:30:12	1	4	116	3	4	1	3	1	4	4	2	3	1	3	1	1	3	4	1	4	3	2	1	1	3	2	2	4	2	2	4	1	4	4	2	3	1	3	2	4	3	4	4	1	1	3	1	3	2	4	4	3	3	4	3	3	2	4	3	2	3	2	2	3	4	4	2	3	1	3	3	3	1	1	3	2	4	1	3	1	4	4	4	4	2	4	1	1	5424	1	4576	1	4805	1	3040	1	2744	1	6592	1	3473	1	3164	1	2741	1	2875	1	2771	1	2544	1	2674	1	2803	1	5821	1	2764	2	3577	1	2957	1	2099	1	2825	1	1918	2	2084	2	1841	2	1836	2	1919	1	1689	2	1845	2	1593	2	1934	2	1614	1	1835	1	2019	2	1899	2	2385	2	1811	1	1951	2	1812	1	1652	1	1604	1	1779	2	1753	2	1957	1	2350	2	1800	2	1937	1	2001	2	1887	1	1889	2	1908	1	1786	2	1696	1	1813	2	1664	1	1743	2	1820	2	1790	2	2029	2	2045	2	1768	1	2023	2	1618	1	1780	2	1873	2	1823	2	2120	2	1936	1	1788	1	2202	2	1819	2	1887	1	1702	1	1936	2	2219	2	1850	2	1807	1	2084	2	1852	2	1895	2	1846	2	1811	2	1832	2	1824	2	1824	2	1893	2	1773	2	1819	1	1834	2	1758	1	1852	1	2255	1	1806	2	1821	2	2021	2	1928	2	1993	2	1767	2	1649	2	1659	2	1822	2	2444	"5ef387080499e10fbea8f37a"	"-"	"Forced4Forced3Forced4Forced4Forced4Forced4Forced4Forced2Forced4Forced3Forced2Forced3Forced4Forced4Forced1Forced2ForcedFeedback"	"-360"	2	10	1	2	4		1	T	65	67	41	61	41	61	52	54	30	28	37	5	22	4	6	10	11	41	2	11	27	18	230	4	12	12	3	455		2021-04-23 14:37:49	T	F	17	17	1	0	1.7	39
